"Date","GOLDBEES","ADANIENT","MID150BEES","MON100","NESTLEIND","HDFCBANK","LT"
2020-01-02,0,0.0161173590854389,0.011635186816406,-0.0025281502842075,-0.00336277351286118,0.00637425363033262,0.026986009016049
2020-01-03,0.0305677757904086,-0.0137311416258943,-0.00450720084921785,-0.0047603455923636,-0.00921649952301107,-0.0142606475564928,-0.00761917456358274
2020-01-06,0.0211864397647474,-0.0420065718432924,-0.0215457426551149,0.00648088152094672,-0.0121251365899065,-0.0216414047959872,-0.0137074476422064
2020-01-07,-0.0179806776885911,0.0225506202320289,0.00941439556129198,0.020355550033764,-0.00873297445519627,0.0158346646864143,0.00284788725295826
2020-01-08,0.0169013654681998,-0.0124970034834363,0.000790437133805444,-0.00936274139137216,0.0070324077071684,-0.00261780540006418,-0.0219234228408398
2020-01-09,-0.0290858526715245,0.0322581977434795,0.0104248907454698,0.0131258151069114,0.0175245939853765,0.0112143459935836,0.0190468350700435
2020-01-10,-0.00285302357482964,0.00528848497727075,0.00734721293941476,0.00476731422307242,0.00289548357443836,0.00888783143116312,0.00642023736695241
2020-01-13,-0.0057224823626193,0.0215207643186104,0.0046554222687385,-0.011743547999829,-0.00187937872274102,0.0025728050724807,0.00762495378444084
2020-01-14,0,0.00351124173109274,0.0040160973866199,0.00196192774673531,0.0143504292996244,0.00272156038166016,-0.00644343940991376
2020-01-15,0.00863307157008775,0.0104968681517781,0.0129230205829327,0.00577867384056696,-0.000564942975627036,-0.00407120959282314,-0.00188534122684647
2020-01-16,-0.00142651178741482,0.0156970776645964,0.00516409456556244,0.00476414508215006,0.0332901525916791,0.00264753507272442,-0.0032486871053552
2020-01-17,-0.00142854963030137,0.0381819384146194,0.0081595786194808,0.0105386264169156,0.00550640929972879,-0.00737791616676786,-0.0114453961258262
2020-01-20,0.00801140981930337,-0.0080998510431165,-0.00509598262986322,0.0192050230552805,-0.00143792067574366,-0.0181904915068366,0.00414044941078218
2020-01-21,-0.00283844664832333,-0.0101523412396968,-0.00165713490363095,-0.0188737127687505,-0.00885362648371668,-0.00840701090923668,-0.00553606586978317
2020-01-22,0.00455450733126583,0.00735778919958685,-0.00316884103078685,0.00980541524287504,0.0175350881706051,-0.00281254948335175,-0.0062579223668624
